premise_name,premise_city,premise_address1,premise_address2,premise_zip,premi se_state,premise_phone,geolocation
BULL MCCABE'S,DURHAM,427 WEST MAIN ST,,27701,NC,(919) 682-3061,35.9972646; -78.9050235
PULCINELLA,DURHAM,4711 HOPE VALLEY RD,,27707,NC,(919) 808-4636,35.9207272; -78.9573299
R N HARRIS ELEM,DURHAM,1520 COOPER ST,,27703,NC,(919) 560-3967,35.9714559; -78.8838096
MANGUM SCHOOL,BAHAMA,9008 QUAIL ROOST RD,,27503,NC,(919) 560-3948,36.1698747; -78.8763816
TESSIES DAY CARE,DURHAM,1421 BROAD ST,,27705,NC,(919) 416-4975,36.0222049; -78.9191959
COMFORT SUITES HOTEL OY POOL,DURHAM,5219 PAGE RD,,27703,NC,,35.8799558; -78.8436546
RED ROOF INN,DURHAM,4405 HIGHWAY 55 EAST,,27713,NC,,35.9109591; -78.8928888
FALLS POINTE AT THE PARK,DURHAM,100 CASCADE FALLS LANE,,27713,NC,,35.8843394; -78.886969
HOLIDAY INN EXPRESS,DURHAM,2516 GUESS ROAD,,27705,NC,,36.0275026; -78.9239574
HOPE VALLEY CC WADING,DURHAM,3803 DOVER RD,,27707,NC,,35.9480977; -78.9472707
LONE STAR STEAKHOUSE & SALOON,DURHAM,5307 NEW HOPE COMMONS DRIVE,,27707,NC,(919) 530-8119,35.9533167; -78.9968077
PALACE INTERNATIONAL,DURHAM,1104 BROAD STREET STE K,,27705,NC,(919) 361-9333,36.015767; -78.9189648
ROMA'S PIZZA SHOP,ROUGEMONT,202 RED MOUNTAIN RD,,27572,NC,(919) 477-7662,36.2194567; -78.9229211
AMANTE PIZZA,CHAPEL HILL,6209 FALCONBRIDGE RD,,27514,NC,(919) 493-0904,35.9093505; -78.9865836
BETHESDA ELEM SCHOOL,DURHAM,2009 S MIAMI BLVD,,27703,NC,(919) 560-3904,35.9401449; -78.8378281
BRIGHT HORIZONS FAMILY SOLUTIONS,DURHAM,1968 IVY CREEK BLVD,,27707,NC,(919) 765-2437,35.9585605; -78.9630633
OAK GROVE SAC CLUB,DURHAM,3810 WAKE FOREST HWY,,27703,NC,(919) 560-3960,35.979946; -78.819459
THRILLS FROM THE GRILL,DURHAM,2827 N ROXBORO ROAD,,27704,NC,(919) 220-5787,36.0563119; -78.9033258
KROGER 332 SEAFOOD,DURHAM,3457 HILLSBOROUGH RD,,27705,NC,(919) 383-2249,36.0188024; -78.9485396
FOOD MART  16  THE,DURHAM,4319 HWY 55,,27713,NC,(919) 484-9153,35.9126874; -78.8916603
TOAST,DURHAM,345 W. MAIN STREET,,27701,NC,(919) 683-2183,35.9965995; -78.9040012
RUSSELL MEMORIAL DAY CARE,DURHAM,703 S ALSTON AVE,,27701,NC,(919) 682-1305,35.9799469; -78.8910547
THE DURHAM CENTER FOR SENIOR LIFE,DURHAM,406 RIGSBEE AVE,,27701,NC,,35.9993356; -78.8993394
SPRING VALLEY LIVING,DURHAM,6 JUA VALLEY,,27707,NC,(866) 654-1113,35.9839222; -78.9247565
JUMPING JACKS,DURHAM,3325 GUESS ROAD,,27705,NC,(919) 479-8284,36.039555; -78.930151
KOUMI JAPANESE RESTURANT,DURHAM,3550 N. ROXBORO RD.,,27704,NC,(980) 322-6174,36.0553803; -78.9033564
OLD HAVANA SANDWICH SHOP,DURHAM,310 E. MAIN ST.,,27701,NC,(919) 667-9525,35.9932826; -78.8981331
STARBUCKS,DURHAM,DUKE HOSPITAL NORTH,,27705,NC,(919) 668-3815,36.0117338; -78.9363491
FAYETTEVILLE STREET ELEMTARY,DURHAM,2905 FAYETTEVILLE ST.,,27707,NC,(919) 638-5147,35.9644701; -78.9055786
BOJANGLES #6,DURHAM,4525 N. ROXBORO ROAD,,27704,NC,(919) 471-0581,36.0583372; -78.9032023
ITALIAN PIZZERIA,DURHAM,113 WELLONS VILLAGE,,27703,NC,(919) 403-8888,35.9939636; -78.8687085
KROGER R/MEAT MARKET 337,DURHAM,5116 ROXBORO ROAD,,27712,NC,(919) 471-6263,36.0689173; -78.9077152
COMFORT INN - MEDICAL PARK,DURHAM,1816 HILLANDALE,,27705,NC,,36.030093; -78.9351
PEPPERTREE,DURHAM,2100 PEPPERTREE STREET,,27705,NC,,36.055635; -78.93206
COURTYARD BY MARRIOTT RTP,DURHAM,301 RESIDENCE INN BLVD,,27713,NC,,35.9047256; -78.8958006
RANDY'S PIZZA,DURHAM,1813 MLK PARKWAY,,27707,NC,(919) 490-6850,35.9595854; -78.9586536
PAN PAN DINER,DURHAM,1058 W. CLUB BLVD.,,27701,NC,(919) 461-1950,36.018111; -78.9102149
LEARNING TOTS ACADEMY,DURHAM,1900 SEDWICK ROAD,,27713,NC,(919) 544-2815,35.8878308; -78.8973378
CENTRAL FAMILY CARE HOME,DURHAM,3714 COLE MILL ROAD,,27705,NC,(919) 383-5724,36.0510295; -78.9719922
EASTWOOD CHC #2,DURHAM,409 EBON ROAD,,27713,NC,(919) 384-6892,35.9296993; -78.9108436
HARRIS TEETER 224 MEAT MARKET,DURHAM,1125 WEST NC 54 HGWY SUITE 310,,27707,NC,(919) 403-0794,35.9174972; -78.9583786
TLC ADULT GROUP HOME,DURHAM,401 MOLINE ST,,27707,NC,(919) 937-3437,35.9783311; -78.9024144
T WEST KITCHEN,DURHAM,1820 JAMES STREET,,27707,NC,(919) 419-1059,35.979135; -78.927377
JONES FAMILY HOME,DURHAM,2122 OVERLAND DR.,,27704,NC,(919) 688-6205,36.01133; -78.862038
KING'S DAUGHTERS INN,DURHAM,204 N. BUCHANNAN BLVD,,27701,NC,(919) 354-7000,36.0037149; -78.9120458
CHICK-FIL-A EXPRESS,DURHAM,DUKE SOUTH CLINIC,,27705,NC,(919) 684-3741,36.0043984; -78.9360846
HOLIDAY INN EXPRESS BREAKFAST BAR,CHAPEL HILL,6119 FARRINGTON RD,,27517,NC,(919) 596-5340,35.909788; -78.983154
GSK COMMERCIAL OPERATIONS CENTER,DURHAM,5 MOORE DRIVE,,27709,NC,(919) 905-2170,35.9274466; -78.8617222
POMEGRANATE KITCHEN,DURHAM,5504 CHAPEL HILL BLVD. SUITE 102,,27707,NC,(919) 886-0356,35.9523751; -78.9969168
DOMINO'S,DURHAM,1209 W. MAIN ST.,,27701,NC,(919) 682-3030,36.0023114; -78.9133683
LYON PARK,DURHAM,1309 HALLEY ST,,27703,NC,(919) 560-4268,35.9893979; -78.9197121
CREEKSIDE SUMMER YOUTH,DURHAM,5321 EPHESUS CHURCH RD,,27707,NC,,35.9278812; -78.9937316
CHINA EXPRESS,DURHAM,2223 NC 54 HWY,PARK TERRACE,27713,NC,(919) 544-7013,35.9014906; -78.8915172
HOLLOW ROCK RACQUET AND SWIM C,DURHAM,5100 ERWIN RD,,27707,NC,,35.985325; -78.9948394
CHILI'S  115,DURHAM,4600 CHAPEL HILL BOULEVARD,,27707,NC,(919) 489-6699,35.9618939; -78.9779035
BISCUITVILLE  160,DURHAM,3201 HILLSBOROUGH RD,,27705,NC,(919) 383-9174,36.0176021; -78.942742
PAPA JOHNS,DURHAM,5318 NEW HOPE COMMONS EXT,STE 200,27707,NC,(919) 402-9900,35.9550003; -78.9931015
LA SUPERIOR MEAT MARKET,DURHAM,3325 N ROXBORO RD,,27704,NC,,36.0563119; -78.9033258
MCDONALDS #368,DURHAM,2010 N ROXBORO ROAD,,27704,NC,,36.016667; -78.889622
HILTON GARDEN INN RAL/DUR/RTP POOL,DURHAM,4620 S MIAMI BLVD,,27703,NC,,35.8930331; -78.8488938
GARRETT FARMS HOA,DURHAM,3715 COTTONWOOD DRIVE,,27707,NC,,35.969045; -78.98393
INNKEEPER SOUTH,DURHAM,4433 HIGHWAY 55,,27713,NC,,35.908791; -78.892724
S & D'S BOSS OF DOGS,DURHAM,THE HOUSE RESTAURANT 4310 S MIAMI BLDV,,27703,NC,(919) 641-3490,35.898905; -78.850691
CRAWLEY FAMILY CARE,DURHAM,1607 AMBERLEY DR.,,27704,NC,(919) 564-7489,36.012147; -78.8595519
WE BEA GRILLIN,DURHAM,1102 HOLLOWAY ST,,27703,NC,(919) 440-2440,35.9942497; -78.8816627
BURGER KING #944,DURHAM,1605 US 70 E,,27703,NC,(919) 596-9184,35.949544; -78.8369249
CJ'S STREET FOOD DC# 130,DURHAM,1101 W CHAPEL HILL ST,,27703,NC,(919) 816-6635,35.9966873; -78.9210582
SALADELIA @ SANFORD,DURHAM,17 LYTHAM LANE N DUKE CAMPUS,,27707,NC,(919) 451-6134,
PARKWOOD METHODIST CHURCH,DURHAM,5123 REVERE RD,,27713,NC,(919) 544-1078,35.8944097; -78.9092955
HILLSIDE HIGH SCHOOL ACADEMY,DURHAM,3727 FAYETTEVILLE STREET,,27707,NC,(919) 560-3925,35.9532104; -78.9035419
GREATER SAINT PAUL,DURHAM,1102 JUNIPER ST,,27701,NC,(919) 667-0173,35.998486; -78.881322
HARRIS TEETER STARBUCKS,DURHAM,2107 HILLSBOROUGH ROAD,,27705,NC,(919) 286-1500,36.0097909; -78.9242229
SUBWAY,DURHAM,6910 FAYETTEVILLE ROAD  236,,27713,NC,(919) 544-0220,35.903599; -78.941906
CIRCLE OF DAUGHTERS,DURHAM,106 OAKMONT AVENUE,,27713,NC,(919) 361-0346,35.943513; -78.8862975
SUNSHINE SMILES ACADEMY,DURHAM,2611 BROAD STREET,,27704,NC,(919) 317-1500,36.035392; -78.911113
SCI TRIANGLE HOUSE II,DURHAM,1523 TYONEK DRIVE,,27703,NC,(919) 596-0619,35.9500033; -78.8418604
DON'S ADULT CARE GROUP HOME,DURHAM,1925 APEX HIGHWAY,,27707,NC,(919) 682-1275,35.9650476; -78.894792
WOK N GRILL,DURHAM,5311 S MIAMI BLVD,SUITE D,27703,NC,(919) 474-8100,35.8806773; -78.8494375
SHERWOOD GITHENS MIDDLE SCHOOL LUNCH,DURHAM,4800 CHAPEL HILL ROAD,,27707,NC,(919) 560-3966,35.9684383; -78.9399241
COMPARE FOODS MEAT MARKET,DURHAM,2000 AVONDALE DR,,27704,NC,(919) 220-9638,36.0165379; -78.8849457
CAMELLIA GARDENS,DURHAM,5010 S ALSTON AVE,,27713,NC,(919) 544-0257,35.890374; -78.886049
VICTORY RESIDENTIAL SERVICES,DURHAM,3007 DEARBORN AVE,,27704,NC,(919) 797-0210,36.03624; -78.8691374
LITTLE CAESARS PIZZA,DURHAM,923 N. MIAMI BLVD.,,27703,NC,(919) 797-0463,35.9914373; -78.8686891
CAMP SUCCESS,DURHAM,3204 HWY 55,,27713,NC,,35.93571; -78.888659
WAFFLE HOUSE,DURHAM,3500 HILLSBOROUGH RD,,27705,NC,(919) 382-3355,36.0211364; -78.9505031
WENDY S   #15,DURHAM,1808 S MIAMI BLVD,,27703,NC,(919) 957-4887,35.9448978; -78.8380434
BURGER KING,DURHAM,1601 HWY. 55,,27705,NC,(919) 682-7546,35.9705708; -78.8944467
COLONIAL GRANDE AT ARRINGTON A,MORRISVILLE,5710 ARRINGTON PARK DRIVE,,27560,NC,,35.8805744; -78.8285232
WOODCROFT SWIM AND TENNIS CLUB,DURHAM,1203 WOODCROFT PKWY,,27713,NC,,35.920859; -78.950483
CAMILLA GARDENS IFS,DURHAM,5010 S ALSTON AVE,,27713,NC,(919) 544-0257,35.890374; -78.886049
MARRIOT DURHAM CITY CENTER,DURHAM,201 FOSTER ST,,27701,NC,(919) 768-6000,35.9973818; -78.901896
"PROMISE, POWER & PROSPERITY",DURHAM,4608-C INDUSTRY LANE,,27713,NC,,35.9413196; -78.9020213
LIBERTY ST. REC CENTER,DURHAM,131 COMMERCE ST,,27701,NC,(919) 683-8596,35.991559; -78.8928697
CORE,DURHAM,3026 WAKE FOREST HWY,,27703,NC,(919) 596-8212,35.9846415; -78.834742
COLONIAL GRAND AT PATTERSON PLACE,DURHAM,300 NORTH CREEK DRIVE,100 NORTH CREEK DRIVE,27707,NC,,35.9531739; -78.9852335
SOUTHPOINT CROSSING,DURHAM,1800 SOUTHPOINT CROSSING DR,,27713,NC,,35.9120185; -78.9391092
HOMEWOOD SUITES,DURHAM,3600 MT MORIAH ROAD,,27706,NC,,35.9497355; -78.9955234
ZION FAMILY CARE HOME,DURHAM,101 KNOTHOLE LANE,,27704,NC,(919) 425-1683,36.026804; -78.825049
BROOKDALE MEMORY CHAPEL HILL IFS,CHAPEL HILL,2230 FARMINGTON ROAD,,27517,NC,(919) 493-5850,35.9083719; -78.9851445
KINDRED TRANS CARE& REHAB-ROSE MANOR,DURHAM,4230 N ROXBORO RD,,27704,NC,(919) 477-9805,36.0553803; -78.9033564
SPRING ARBOR OF DURHAM,DURHAM,4523 HOPE VALLEY RD,,27707,NC,(919) 403-0055,35.925738; -78.953569
CARILLON ASSISTED LIVING OF DURHAM,DURHAM,4713 GARRETT RD,,27707,NC,(919) 401-1101,35.9545806; -78.9710549
PHO 9N9,DURHAM,2945 S MIAMI BLVD  102,,27703,NC,(919) 544-4496,35.9244845; -78.8434017
GG THE TASTE OF CHICAGO & FISH CHICKEN,DURHAM,826 FAYETTEVILLE ST SUITE 103,,27701,NC,(919) 682-9145,35.985066; -78.899939
LI MING'S GLOBAL MART (MEAT MARKET),DURHAM,3400 WESTGATE DRIVE SUITE 14A,,27707,NC,(919) 401-5850,35.9658692; -78.9633656
DOMINO'S PIZZA,DURHAM,3205 UNIVERSITY DRIVE,,27707,NC,(919) 493-8484,35.9677898; -78.9417974
THE DURHAM FAMILY GROUP HOME WILKERSON AVENUE HOUS,DURHAM,837 WILKERSON AVENUE,,27701,NC,(919) 730-7405,35.9992967; -78.9173606
A W NORTH CAROLINA,DURHAM,4112 OLD OXFORD RD.,,27712,NC,(919) 479-6400,36.0917599; -78.8360872
THE LEARNING EXPERIENCE,DURHAM,5020 HIGHWAY 55,,27713,NC,(919) 544-4104,35.895701; -78.8981032
A NEW BEGINNING,DURHAM,3807 UNIVERSITY DRIVE,,27707,NC,(919) 490-1924,35.9662633; -78.9518334
PAD THAI,DURHAM,2425 GUESS RD,,27705,NC,(919) 416-9009,36.0266083; -78.9228698
SUBWAY,DURHAM,5300 N ROXBORO RD,,27712,NC,(919) 477-5389,36.0777866; -78.9095694
SEASONS AT SOUTHPOINT IFS,DURHAM,1002 HWY 54,,27713,NC,(919) 484-8518,35.9056238; -78.9200354
OUR DAILY LIVING,DURHAM,102 E. MURRAY AVENUE,,27704,NC,(919) 493-0637,36.02863; -78.892908
CREATIVE SUMMER CAMP,DURHAM,800 N MANGUM ST.,,27707,NC,,36.0016367; -78.8952686
KROGER R 332 PRODUCE,DURHAM,3457 HILLSBOROUGH ROAD,,27705,NC,(919) 383-2249,36.0188024; -78.9485396
THE LEARNING CIRCLE,DURHAM,1231 TRALEA,,27707,NC,(919) 687-7708,35.9536022; -78.9088925
PHILLY STEAK FACTORY,DURHAM,5410 NEW HOPE COMMONS DRIVE,,27707,NC,(919) 493-8545,35.9546526; -78.9960043
ELSIE-DORIS FAMILY CARE HOME 2,DURHAM,1009 SOUTH ALSTON AVE.,,27713,NC,(919) 399-1721,35.9771659; -78.892286
EARLY EXPLORERS - HIGHGATE,DURHAM,5117 HIGHGATE DR.,,27713,NC,,35.9114693; -78.9452338
DUKE MEDICAL CENTER,DURHAM,20 DUKE MEDICINE CIRCLE,,27715,NC,(888) 257-3853,36.0049038; -78.936454
CHIPOTLE MEXICAN GRILL,DURHAM,6910 FAYETTEVILLE RD SUITE 187,,27713,NC,(919) 627-9249,35.9034513; -78.9431065
LEGACY CHILD ENRICHMENT CENTER,DURHAM,2601 HILLSBOROUGH ST.,,27705,NC,(919) 286-4698,36.010762; -78.9289481
ROGERS HERR MIDDLE SCHOOL,DURHAM,911 W CORNWALLIS,,27707,NC,(919) 560-3970,35.972583; -78.934848
NORTHERN HIGH SCHOOL,DURHAM,117 TOM WILKINSON RD,,27712,NC,(919) 560-3956,36.0938209; -78.9118029
MAGNOLIA POINTE APTS,DURHAM,4801 DANUBE LANE,,27704,NC,(919) 477-1024,36.057642; -78.8900068
MAMA'S HOT CHICKEN,DURHAM,900 W MAIN ST ALIVIA'S,,27701,NC,(919) 323-9172,36.0002909; -78.9092031
MCDONALDS,DURHAM,BRYAN STUDENT CENTER,DUKE W CAMPUS,27708,NC,,35.9987976; -78.9477174
CROASDAILE APTS  1,DURHAM,1829 FRONT STREET,,27705,NC,,36.0301675; -78.9377781
HAMPTON INN AND SUITES CHAPEL HILL,CHAPEL HILL,6121 FARRINGTON RD,,27514,NC,(919) 403-8300,35.9101681; -78.9823655
SHERATON IMPERIAL HOTEL,RTP,4700 EMPEROR DRIVE,,27703,NC,(919) 941-5156,35.8779479; -78.8384012
SUPER TARGET FOOD AVENUE 2069,DURHAM,8210 RENAISSANCE PARKWAY,,27713,NC,(919) 490-1326,35.9026718; -78.956667
"SUBWAY, COFFEE WORLD, ICE CREAM",DURHAM,3799 GUESS RD,,27705,NC,(919) 477-8558,36.0569716; -78.929833
SUBWAY,DURHAM,8128 RENAISSANCE PKWY SUITE 113,,27713,NC,(919) 572-0902,35.9033376; -78.9527982
TOP'S CHINA,DURHAM,5324 NEW HOPE COMMONS DR. STE 301,,27707,NC,(919) 401-8406,35.9550444; -78.9940951
LAKEWOOD MONTESSORI SCHOOL LUNCHROOM,DURHAM,2119 CHAPEL HILL RD,,27707,NC,(919) 560-2894,35.9846983; -78.9285288
LUCAS MIDDLE SCHOOL LUNCHROOM,DURHAM,923 SNOW HILL RD,,27712,NC,(919) 560-3843,36.109108; -78.886559
NC START CENTRAL RESPITE HOME EASTER SEALS UCP,DURHAM,3817 CHEEK ROAD,,27704,NC,(919) 797-1602,36.0228449; -78.812372
SAVE-A-LOT MEAT MARKET,DURHAM,812 LIBERTY ST,,27701,NC,(919) 530-8596,35.9921766; -78.8865842
FAYETTEVILLE STCOMM LIVING HOME @ N MAPLE,DURHAM,111 N MAPLE ST,,27701,NC,(919) 519-0016,35.986175; -78.88087
OLE NC BAR B QUE,DURHAM,3600 N DUKE ST,,27704,NC,(919) 471-1400,36.0495727; -78.9046188
FOREST GLEN APTS,DURHAM,100 LYNN FOREST DRIVE,,27713,NC,(919) 564-1426,35.9367081; -78.9001796
MCALISTER'S DELI,DURHAM,5318 NEW HOPE COMMONS DRIVE,,27707,NC,(919) 419-9083,35.9542718; -78.9947227
TAQUERIA JALISCO,DURHAM,3808 GUESS RD SUITE 1,,27703,NC,(919) 358-7824,36.0586094; -78.9279599
FAIRFIELD INN & SUITES BY MARRIOTT  SOUTHPOINT,DURHAM,7807 LEONARDO DR,,27713,NC,(919) 806-2800,35.9019938; -78.9591429
MAX'S PLACE,DURHAM,1802 ATTERBURY LANE,,27712,NC,(919) 697-7340,36.079737; -78.93511
TUTORIAL AND 1/2  CHRISTIAN SCHOOL,DURHAM,3026 WAKE FOREST HWY,,27703,NC,(919) 596-8612,35.9846415; -78.834742
HARVEST 18,DURHAM,8128 RENAISSANCE PARKWAY SUITE 114,,27713,NC,(919) 274-3216,35.9033376; -78.9527982
GLOBAL SCHOLARS ACADEMY,DURHAM,311 DOWD STREET,,27703,NC,(919) 323-5004,36.0003336; -78.8929846
GOCCIOLINA,DURHAM,3314 GUESS ROAD SUITE A,,27705,NC,(919) 973-4089,36.0388823; -78.9289513
DURHAM BULLS ATHLETIC PARK,DURHAM,409 BLACKWELL ST,,27701,NC,(919) 908-7377,35.991585; -78.904016
SOUTHERN HIGH SCHOOL,DURHAM,800 CLAYTON RD,,27703,NC,(919) 560-3968,36.0000791; -78.829234
A POSITIVE SOLUTION,DURHAM,228 SOUTH BEND DR,,27713,NC,(336) 617-0256,35.887201; -78.941435
EXTENDED STAY RTP HWY 55 # 9685,DURHAM,4515 HWY 55,,27713,NC,,35.904571; -78.894122
FAY STREET GROCERY AND GRILL,DURHAM,1302 FAY STREET,,27701,NC,(919) 491-0595,35.9988293; -78.8804324
ROLLING BISTRO,DURHAM,2945 S MIAMI BLVD STE 127,,27703,NC,(919) 274-1587,35.9243439; -78.8441197
MONUTS,DURHAM,1002 NINTH STREET,,27705,NC,(919) 449-6786,36.0139156; -78.921526
PUPUSERIA LA METAPANECA,DURHAM,2405 HOLLOWAY ST,,27703,NC,(919) 596-2763,35.9907553; -78.8592243
HERITAGE GRILL,DURHAM,5801 CHEEK ROAD,,27704,NC,(919) 939-3878,36.029912; -78.773355
LOFTS AT LAKEVIEW  2,DURHAM,2016 ERWIN RD,,27705,NC,,36.0069117; -78.9302884
LAQUINTA INN SPA,DURHAM,4414 CHAPEL HILL BLVD,,27707,NC,,35.9454822; -78.9724505
C C SPAULDING,DURHAM,1531 S. ROXBORO ST,,27707,NC,(919) 560-3974,35.9670479; -78.91649
EASTWAY ELEMENTARY SCHOOL PRE K,DURHAM,610 ALSTON AVE,,27701,NC,(919) 560-3910,35.98077; -78.891519
ARTISAN AT BRIGHTLEAF,DURHAM,2015 COPPERLEAF PARKWAY,,27703,NC,,35.9459131; -78.8232427
EL CORRAL MEXICAN RESTAURANT INC,DURHAM,1821 HILLANDALE RD #8,,27705,NC,(919) 309-4543,36.03167; -78.9365294
VOANS SENIOR COMMUNITY CARE OF NC,DURHAM,4022 STIRRUP CREEK DR SUITE 315,,27703,NC,(919) 797-0902,35.9164586; -78.8434647
FOOD LION MEAT MARKET 57,DURHAM,5279 N ROXBORO RD,,27712,NC,(919) 477-0438,36.0765775; -78.9114595
COMFORT INN,DURHAM,4507 NC HWY 55,,27713,NC,(919) 544-0288,35.9076712; -78.8930131
MOROLEON CARNICERIA/MEAT MARKET,DURHAM,1109 N MIAMI BLVD,,27703,NC,,35.9940949; -78.8711607
YAMAZUSHI,DURHAM,4711 HOPE VALLEY RD SUITE 6A,,27707,NC,(919) 493-7748,35.9207272; -78.9573299
CAPTAIN D'S,DURHAM,4300 N ROXBORO RD,,27704,NC,(919) 477-0402,36.0553803; -78.9033564
SUBWAY,DURHAM,4600 CHAPEL HILL BLVD,,27707,NC,(919) 493-4116,35.9618939; -78.9779035
CARRABBAS ITALIAN GRILL,DURHAM,5312 NEW HOPE COMMONS EXTENS,,27707,NC,(919) 401-5950,35.9552403; -78.9924884
CIRCLE K # 6312,DURHAM,109 W HWY 54,,27713,NC,(919) 489-9078,35.9107207; -78.9350115
MED CTR COMMONS/FOOD SERV SEC,DURHAM,016 SEELEY MUDD BUILDING,DUKE WEST CAMPUS-DUKE UNIVER,27710,NC,,36.0057834; -78.938051
BEL GUSTO,DURHAM,2800 CAMPUS WALK AVE,,27705,NC,(919) 382-5024,36.0111429; -78.953045
TANDOOR IRON GRILL & PIZZA,DURHAM,5410 HWY 55,SUITE JK,27713,NC,(919) 484-2102,35.8896949; -78.897126
SUBWAY,DURHAM,3500 N ROXBORO RD,,27704,NC,(919) 477-5389,36.0553803; -78.9033564
HILLSIDE LUNCHROOM,DURHAM,3727 FAYETTEVILLE ST,,27707,NC,(919) 560-3925,35.9532104; -78.9035419
DURHAM ACADEMY PRE/LOWER SCHOO,DURHAM,3501 RIDGE,,27705,NC,(919) 493-9595,35.9794176; -78.9674789
MOREHEAD SCHOOL,DURHAM,909 W COBB ST,,27707,NC,(919) 560-3451,35.988199; -78.913759
BROGDEN JR HIGH SCHOOL,DURHAM,1001 LEON ST,,27704,NC,(919) 560-3906,36.0247847; -78.908729
EL CHAPIN,DURHAM,4600 DURHAM CHAPEL HILL BLVD,,27707,NC,(919) 308-2440,35.9618939; -78.9779035
MINDZ@WK,DURHAM,3 OLIVENE DR.,,27703,NC,,35.9892309; -78.824615
FOOD LION PRODUCE #234,DURHAM,2550 HOLLOWAY STREET,,27703,NC,(919) 598-1433,35.9898862; -78.8567627
ALOFT - DURHAM DOWNTOWN,DURHAM,345 BLACKWELL STREET,,27701,NC,(919) 402-5656,35.9933768; -78.9039493
PONYSAURUS BREWING CO,DURHAM,219 HOOD ST,,27701,NC,(919) 801-7290,35.989615; -78.895294
KANGAROO EXPRESS 2720104,DURHAM,4835 HOPE VALLEY ROAD,,27707,NC,(919) 493-2825,35.9193675; -78.9603471
ROMA PIZZA,DURHAM,121 SHERRON RD 302,,27703,NC,(919) 641-0675,35.97143; -78.7992302
TRE FORNI,DURHAM,1125 W HWY 54 SUITE 805,,27707,NC,(919) 973-0922,35.9182655; -78.9593263
SAMANTAS PUPUSAS,DURHAM,2104 ANGIER AVE JOE’S COMMISSARY,,27703,NC,(919) 225-5398,35.9819333; -78.8777813
GOLDEN CORRAL,DURHAM,5006 NC APEX HWY 55,,27713,NC,(919) 544-2275,35.9324164; -78.8878827
ESMERALDA'S CAFE,DURHAM,1058 W CLUB BLVD SUITE 140,,27704,NC,(919) 864-8007,36.018111; -78.9102149
WENDY'S #2390,DURHAM,5402 S MIAMI BLVD,,27703,NC,(919) 474-0017,35.8806546; -78.8509453
DUKE CONCESSIONS STAND 4,DURHAM,WALLACE WADE STADIUM,,27708,NC,(919) 697-0950,35.9953688; -78.9417564
KIMBERLY'S TACO,DURHAM,2104 ANGIER AVE JOE’S COMMISSARY,,27703,NC,(919) 548-9527,35.9819333; -78.8777813
DOG STAR TATTOO,DURHAM,807 E. MAIN ST.,,27701,NC,,35.9908126; -78.8902944
TACO BELL,DURHAM,3509 WESTGATE DR,,27707,NC,(919) 419-1896,35.9653017; -78.9601844
E K POWE,DURHAM,913 9TH ST,,27705,NC,(919) 560-3963,36.012948; -78.922488
ROSES MEAT MARKET AND SWEET SHOP,DURHAM,121 N GREGSON ST,,27701,NC,(919) 797-2233,36.0007123; -78.9090288
LITTLE CAESARS,DURHAM,5128 SUITE 4 N ROXBORO RD,,27704,NC,(919) 471-3300,36.070519; -78.907594
LOWES GROVE MIDDLE SCHOOL LUNCHROOM,DURHAM,4418 S ALSTON AVE,,27713,NC,(919) 560-3946,35.9045436; -78.8912966
CASCADE AT DURHAM,DURHAM,2920 CHAPEL HILL RD APT 36D,,27707,NC,(919) 490-6900,35.9706393; -78.9407908
DIXON ROAD GROUP HOME,DURHAM,3520 DIXON ROAD,,27702,NC,(919) 493-5377,35.954701; -78.942113
HAMPTON INN AND SUITES,DURHAM,1542 N GREGSON STREET,,27701,NC,,36.0183378; -78.9060312
SPRINGHILL SUITES - POOL,DURHAM,920 SLATER ROAD,,27703,NC,,35.8760295; -78.8374078
NEW JAPAN EXPRESS,DURHAM,1800 STRAUSS DR.,,27703,NC,(919) 220-4074,35.94593; -78.838959
KIDS KORNER ACADEMY,DURHAM,2800 SHAFTSBURY DR.,,27705,NC,(919) 235-7513,36.0380589; -78.911757
CHRISTIAN PREP ACADEMY,DURHAM,1405 HWY 54,,27713,NC,(919) 416-1728,35.904922; -78.91344
ASHTON HALL,DURHAM,15 PALMETTO CIRCLE,,27703,NC,,35.955189; -78.830186
THE HUMBLE PIG  AB54452,DURHAM,WILL AND POPS 3726 MAYFAIR STREET,,27707,NC,(919) 616-1852,
COSINA MEXICANA LA PENA DE HOREB,DURHAM,2300 CHAPEL HILL ROAD,,27707,NC,(919) 592-1796,35.9831979; -78.9311407
FOOD DELICIOUS,DURHAM,1102 HOLLOWAY STREET,,27703,NC,(888) 512-3343,35.9942497; -78.8816627
LUCKY'S DELICATESSEN,DURHAM,107 WEST CHAPEL HILL STREET,,27701,NC,(919) 864-8841,35.9967505; -78.9046631
MEDITERRASIAN BISTRO,DURHAM,"105 WEST NC HIGHWAY 54, UNIT 225",,27713,NC,(919) 484-0505,35.9101745; -78.9379132
TAQUERIA OAXAQUENA,DURHAM,821 N MIAMI BLVD,,27703,NC,(919) 358-2952,35.990345; -78.8675109
THE COMMONS DUKE UNIVERSITY WEST UNION,DURHAM,406 CHAPEL DR,,27708,NC,(919) 660-3900,36.001517; -78.9391734
SKIN CITY BODY ART - PATRICK W. ARASIM,DURHAM,4125 DURHAM/CHAPEL HILL BLVD. STE. 6,,27707,NC,(919) 294-4723,35.968309; -78.9599701
